District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
2243,Beaverton SD 48J,1314,School of Science & Technology,Andrew Cronk,Grade(s) 9-12,H,Washington,165,19%,21,8%,21%,93%,9,1,1,30%,No,26,Increase,4,25,87%,Decrease,3%,80%,,,,,,,,,,,,,,87%,Increase,2%,85%,97%,Increase,7%,77%,100%,Increase,3%,83%
2243,Beaverton SD 48J,1270,Sexton Mountain Elementary School,Cherie Reese,Grade(s) K-5,E,Washington,526,12%,26,11%,17%,92%,29,13,1,19%,No,24,Decrease,1,25,94%,Increase,1%,80%,High,72%,Increase,2%,51%,67%,Decrease,4%,44%,83%,Decrease,2%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,2783,Southridge High School,David Nieslanik,Grade(s) 9-12,H,Washington,1450,26%,44,13%,34%,97%,73,8,5,12%,Yes,28,Decrease,2,25,76%,Decrease,2%,80%,,,,,,,,,,,,,,81%,Decrease,10%,85%,88%,Increase,2%,77%,90%,Decrease,4%,83%
2243,Beaverton SD 48J,4712,Springville K-8 School,Robin Kobrowski,Grade(s) K-8,E,Washington,822,22%,32,12%,16%,96%,41,12,1,22%,Yes,28.5,Increase,1,25,92%,Decrease,2%,80%,High,74%,Increase,1%,54%,73%,Decrease,2%,42%,79%,Decrease,6%,64%,,,,,,,,,,,,
2243,Beaverton SD 48J,2782,Stoller Middle School,Veronica Galvan,Grade(s) 6-8,M,Washington,1502,19%,42,7%,11%,97%,65,10,3,17%,No,31,No Change,,25,93%,No Change,,80%,High,85%,Increase,2%,56%,80%,No Change,,41%,81%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1188,Sunset High School,John Huelskamp,Grade(s) 9-12,H,Washington,2073,22%,48,11%,19%,97%,99,12,7,10%,No,30,No Change,,25,84%,Increase,2%,80%,,,,,,,,,,,,,,95%,Increase,1%,85%,90%,Increase,4%,77%,92%,Increase,1%,83%
2243,Beaverton SD 48J,1176,Terra Linda Elementary School,Christy Batsell,Grade(s) K-5,E,Washington,386,20%,9,15%,34%,92%,24,11,1,20%,No,20,No Change,,25,>95%,Increase,>6%,80%,Average,71%,Increase,6%,51%,64%,Increase,3%,44%,66%,Decrease,8%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1177,Vose Elementary School,Monique Wortman-Singleton,Grade(s) K-5,E,Washington,618,69%,14,11%,76%,95%,42,9,1,17%,No,27,Increase,4,25,86%,Increase,6%,80%,Average,45%,Increase,7%,51%,44%,No Change,,44%,56%,No Change,,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1178,West Tualatin View Elementary School,Kalay McNamee,Grade(s) K-5,E,Washington,370,8%,18,15%,12%,91%,26,8,0,23%,No,21,No Change,,25,>95%,Increase,>1%,80%,High,81%,Increase,6%,51%,75%,Increase,2%,44%,90%,Increase,20%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1320,Westview High School,Matthew Pedersen,Grade(s) 9-12,H,Washington,2491,26%,49,11%,25%,98%,111,17,8,13%,No,31,No Change,,25,79%,Decrease,4%,80%,,,,,,,,,,,,,,86%,Decrease,4%,85%,88%,No Change,,77%,93%,Increase,3%,83%
2243,Beaverton SD 48J,1185,Whitford Middle School,Brian Peerenboom,Grade(s) 6-8,M,Washington,698,42%,29,14%,56%,93%,41,10,2,21%,Yes,23,Decrease,1,25,81%,Increase,2%,80%,Average,58%,Increase,1%,56%,45%,Increase,1%,41%,67%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1179,William Walker Elementary School,Melissa Murray,Grade(s) K-5,E,Washington,466,68%,15,17%,>95%,96%,34,11,1,10%,Yes,23,Increase,1,25,84%,No Change,,80%,High,39%,Increase,1%,51%,29%,Decrease,7%,44%,43%,Decrease,14%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1324,Amity Creek Elementary School,Andrew Slavin,Grade(s) K-5,E,Deschutes,166,*,1,*,20%,74%,8,3,0,8%,Yes,28,Decrease,1,25,92%,Decrease,1%,80%,Average,69%,Increase,1%,51%,52%,Decrease,3%,44%,80%,Increase,1%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,241,Bear Creek Elementary School,Anissa Wiseman,Grade(s) K-5,E,Deschutes,584,36%,7,9%,>95%,91%,36,12,0,14%,No,21,Decrease,1,25,85%,Decrease,2%,80%,High,50%,No Change,,51%,48%,Increase,1%,44%,62%,Increase,6%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5309,Bend International School,Meera Dayal Rupp,Grade(s) K-8,E,Deschutes,193,6%,4,8%,32%,70%,12,4,0,31%,No,22,Increase,2,25,90%,Decrease,1%,80%,High,75%,Increase,8%,54%,54%,Decrease,4%,42%,82%,Increase,2%,64%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,251,Bend Senior High School,Christopher Reese,Grade(s) 9-12,H,Deschutes,1721,10%,17,13%,33%,94%,72,15,6,5%,No,27,No Change,,25,68%,Decrease,4%,80%,,,,,,,,,,,,,,95%,Increase,3%,85%,90%,Increase,4%,77%,92%,No Change,,83%
1976,Bend-LaPine Administrative SD 1,250,Buckingham Elementary School,Sunshine Dandurand,Grade(s) K-5,E,Deschutes,576,5%,9,11%,36%,91%,30,11,0,10%,No,23,Increase,1,25,87%,Increase,1%,80%,Average,63%,Decrease,2%,51%,63%,Increase,1%,44%,86%,No Change,,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,Stephan DuVal,Grade(s) 6-8,M,Deschutes,669,5%,11,11%,25%,93%,27,8,2,12%,Yes,30,Increase,1,25,82%,No Change,,80%,Average,72%,Decrease,4%,56%,56%,Decrease,5%,41%,82%,Increase,2%,61%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5384,Desert Sky Montessori,Jodie Borgia,Grade(s) K-3,E,Deschutes,104,*,4,*,19%,61%,4,4,0,-1,No,26,New School,,25,79%,New School,,80%,*,71%,New School,,48%,43%,New School,,47%,*,New School,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,Kelle Hildebrandt,Grade(s) K-5,E,Deschutes,580,10%,6,7%,46%,93%,30,6,0,12%,No,24.5,Increase,3,25,84%,Decrease,1%,80%,Low,62%,Increase,1%,51%,52%,Decrease,3%,44%,63%,Decrease,6%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,Dana Pedersen,Grade(s) K-5,E,Deschutes,209,5%,2,11%,>95%,93%,16,3,0,14%,No,17,Decrease,1,25,74%,Decrease,1%,80%,Average,61%,Increase,4%,51%,45%,Increase,9%,44%,79%,Increase,26%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,Wendy McCulloch,Grade(s) 6-8,M,Deschutes,794,16%,9,12%,40%,94%,36,7,3,11%,Yes,24,Decrease,2,25,78%,Increase,1%,80%,Average,54%,Decrease,7%,56%,35%,Decrease,10%,41%,51%,Decrease,7%,61%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,Linda Burley,Grade(s) K-5,E,Deschutes,626,<5%,9,<5%,8%,89%,28,4,0,12%,Yes,24,Decrease,1,25,80%,Decrease,7%,80%,High,77%,Increase,1%,51%,73%,Increase,1%,44%,83%,Increase,1%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,Brian Kissell,Grade(s) K-5,E,Deschutes,389,*,3,5%,8%,84%,18,3,0,2%,No,26,Increase,2,25,93%,Decrease,2%,80%,High,89%,Increase,2%,51%,90%,Increase,3%,44%,90%,Increase,5%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,Dan Wolnick,Grade(s) K-5,E,Deschutes,511,9%,7,12%,50%,91%,29,11,0,8%,No,23,No Change,,25,84%,Decrease,1%,80%,Average,69%,Increase,1%,51%,62%,Increase,4%,44%,78%,Increase,9%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,Patrick Flanagan,Grade(s) K-5,E,Deschutes,406,*,3,15%,>95%,95%,23,10,0,20%,No,23.5,Increase,1,25,76%,No Change,,80%,Average,42%,Increase,6%,51%,35%,Decrease,5%,44%,51%,Decrease,6%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,Robi Phinney,Grade(s) 6-8,M,Deschutes,305,*,5,20%,>95%,94%,17,5,1,21%,No,26.5,Decrease,1,25,76%,Increase,8%,80%,Low,24%,Decrease,16%,56%,19%,Decrease,2%,41%,34%,Decrease,7%,61%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,Matt Montgomery,Grade(s) 9-12,H,Deschutes,376,*,4,20%,59%,96%,20,11,2,13%,No,19,Decrease,1,25,75%,No Change,,80%,,,,,,,,,,,,,,77%,Decrease,4%,85%,70%,Decrease,6%,77%,84%,Decrease,1%,83%
1976,Bend-LaPine Administrative SD 1,1317,Lava Ridge Elementary School,Gary DeFrang,Grade(s) K-5,E,Deschutes,613,7%,8,8%,28%,91%,31,10,0,14%,No,25,Increase,1,25,84%,Decrease,7%,80%,Average,72%,Increase,6%,51%,58%,Increase,4%,44%,79%,Increase,3%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1338,Marshall High School,Sal Cassaro,Grade(s) 9-12,H,Deschutes,156,12%,4,29%,>95%,97%,11,2,1,14%,No,13,Decrease,2,25,25%,Decrease,2%,80%,,,,,,,,,,,,,,46%,Decrease,37%,85%,33%,No Change,,77%,56%,Increase,8%,83%
1976,Bend-LaPine Administrative SD 1,252,Mountain View Senior High School,Michael Hicks,Grade(s) 9-12,H,Deschutes,1375,7%,11,13%,33%,96%,60,8,5,12%,No,26,Decrease,2,25,68%,Decrease,1%,80%,,,,,,,,,,,,,,84%,Decrease,2%,85%,83%,Decrease,2%,77%,92%,Increase,3%,83%
1976,Bend-LaPine Administrative SD 1,5292,Pacific Crest Middle School,Chris Boyd,Grade(s) 6-8,M,Deschutes,746,*,8,6%,9%,91%,30,5,3,20%,No,32,Decrease,3,25,76%,Decrease,3%,80%,Average,73%,Decrease,1%,56%,61%,Decrease,4%,41%,74%,Decrease,8%,61%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,249,Pilot Butte Middle School,Steve Stancliff,Grade(s) 6-8,M,Deschutes,648,9%,5,14%,57%,91%,32,6,2,10%,Yes,26,No Change,,25,74%,No Change,,80%,Average,63%,Increase,2%,56%,47%,Increase,4%,41%,59%,Decrease,8%,61%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3947,Pine Ridge Elementary,Rochelle Williams,Grade(s) K-5,E,Deschutes,529,7%,8,8%,30%,89%,28,7,0,7%,No,23,Decrease,1,25,88%,No Change,,80%,High,69%,Increase,4%,51%,66%,Increase,5%,44%,74%,No Change,,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4646,Ponderosa Elementary,Stephen Austin,Grade(s) K-5,E,Deschutes,582,<5%,5,10%,37%,93%,31,11,0,13%,No,24,Decrease,1,25,85%,Decrease,2%,80%,High,60%,Increase,1%,51%,56%,Decrease,3%,44%,82%,Decrease,3%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,247,R E Jewell Elementary School,Scott Edmondson,Grade(s) K-5,E,Deschutes,541,16%,7,9%,46%,95%,29,6,1,12%,No,24,Increase,2,25,86%,Increase,1%,80%,High,59%,Increase,9%,51%,50%,Increase,1%,44%,74%,Increase,7%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3448,REALMS (Rimrock Expeditionary Alternative Learning Middle School),Dirk Matthias,Grade(s) 6-8,M,Deschutes,148,*,3,20%,25%,79%,10,2,0,24%,No,25,Decrease,1,25,80%,Decrease,11%,80%,High,82%,Increase,14%,56%,59%,Increase,11%,41%,75%,Decrease,1%,61%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4793,Rosland Elementary,Julie Linhares,Grade(s) K-5,E,Deschutes,188,*,4,8%,>95%,89%,11,3,0,12%,No,24,Increase,3,25,83%,Increase,4%,80%,High,54%,Increase,1%,51%,48%,No Change,,44%,86%,Increase,14%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5293,Silver Rail Elementary School,Tammy Doty,Grade(s) K-5,E,Deschutes,482,10%,2,14%,42%,92%,26,5,0,18%,No,25,Increase,3,25,85%,Decrease,1%,80%,High,64%,Increase,5%,51%,57%,Increase,4%,44%,77%,Increase,12%,65%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3217,Sky View Middle School,Scott Olszewski,Grade(s) 6-8,M,Deschutes,680,7%,7,11%,33%,93%,29,9,2,6%,No,28,Decrease,1,25,81%,No Change,,80%,Low,40%,Decrease,10%,56%,38%,Increase,1%,41%,*,No Change,,61%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3216,Summit High School,Michael McDonald,Grade(s) 9-12,H,Deschutes,1529,<5%,18,9%,13%,93%,60,9,5,12%,No,27,Decrease,1,25,66%,Decrease,5%,80%,,,,,,,,,,,,,,93%,No Change,,85%,91%,Increase,4%,77%,94%,Decrease,2%,83%
1976,Bend-LaPine Administrative SD 1,1266,Three Rivers Elementary School,Tim Broadbent,Grade(s) K-8,E,Deschutes,437,*,2,11%,47%,88%,22,3,0,11%,No,24,No Change,,25,81%,Decrease,1%,80%,Average,68%,Increase,9%,54%,55%,Increase,10%,42%,78%,Increase,9%,64%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3221,Westside Village Magnet School at Kingston Elementary School,Wendy Winchel,Grade(s) K-8,E,Deschutes,262,*,3,16%,40%,74%,15,4,0,12%,No,63.5,No Change,,25,85%,Increase,1%,80%,Low,63%,Increase,6%,54%,32%,Decrease,8%,42%,91%,Increase,1%,64%,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4680,William E Miller Elementary,Jen Healy,Grade(s) K-5,E,Deschutes,650,*,6,6%,11%,89%,31,7,0,12%,No,26,Decrease,1,25,82%,Decrease,9%,80%,High,81%,Increase,2%,51%,75%,Increase,1%,44%,87%,Increase,1%,65%,,,,,,,,,,,,
2088,Bethel SD 52,581,Cascade Middle School,Natalie Oliver,Grade(s) 6-8,M,Lane,325,10%,5,22%,>95%,98%,16,7,1,23%,No,26,Increase,3,25,84%,Increase,4%,80%,High,56%,Decrease,3%,56%,45%,Increase,2%,41%,72%,Increase,4%,61%,,,,,,,,,,,,
2088,Bethel SD 52,582,Clear Lake Elementary School,John Luhman,Grade(s) K-5,E,Lane,264,*,2,17%,>95%,97%,14,10,1,27%,No,27.5,Increase,1,25,83%,Increase,2%,80%,Average,37%,Decrease,10%,51%,31%,Decrease,8%,44%,53%,Decrease,21%,65%,,,,,,,,,,,,
2088,Bethel SD 52,583,Danebo Elementary School,Mari Ford,Grade(s) K-5,E,Lane,304,18%,6,30%,>95%,98%,17,18,1,11%,No,27.5,Decrease,1,25,86%,Increase,1%,80%,Low,39%,Increase,7%,51%,26%,Increase,1%,44%,44%,Increase,8%,65%,,,,,,,,,,,,
2088,Bethel SD 52,584,Fairfield Elementary School,Jenny Sink,Grade(s) K-5,E,Lane,339,16%,4,17%,>95%,95%,18,12,1,19%,No,28,No Change,,25,86%,No Change,,80%,Low,39%,Decrease,5%,51%,22%,Decrease,10%,44%,36%,Decrease,12%,65%,,,,,,,,,,,,
2088,Bethel SD 52,585,Irving Elementary School,Nathan Bridgens,Grade(s) K-5,E,Lane,369,*,3,16%,35%,99%,17,9,1,18%,No,25,Decrease,3,25,87%,Increase,1%,80%,Average,65%,Increase,1%,51%,58%,No Change,,44%,89%,Increase,23%,65%,,,,,,,,,,,,
2088,Bethel SD 52,3566,Kalapuya High School,Stefan Aumack,Grade(s) 9-12,H,Lane,99,*,2,31%,>95%,96%,8,4,1,4%,Yes,12,Decrease,1,25,61%,Increase,21%,80%,,,,,,,,,,,,,,*,No Change,,85%,18%,Decrease,13%,77%,48%,Decrease,17%,83%
2088,Bethel SD 52,586,Malabon Elementary School,Maureen Spence,Grade(s) K-5,E,Lane,423,15%,5,24%,>95%,97%,21,11,1,18%,No,25,Decrease,4,25,81%,Decrease,3%,80%,Average,41%,Decrease,6%,51%,28%,Decrease,14%,44%,43%,Decrease,39%,65%,,,,,,,,,,,,
2088,Bethel SD 52,2264,Meadow View School,Erika Case,Grade(s) K-8,E,Lane,786,<5%,5,15%,38%,96%,34,15,1,12%,No,30,No Change,,25,88%,Increase,2%,80%,Average,58%,Increase,4%,54%,47%,Increase,4%,42%,85%,Increase,8%,64%,,,,,,,,,,,,
2088,Bethel SD 52,3567,Prairie Mountain School,Jill Robinson-Wolgamott,Grade(s) K-8,E,Lane,708,26%,9,18%,60%,98%,34,23,1,20%,No,27,No Change,,25,89%,Decrease,3%,80%,Average,45%,Decrease,2%,54%,40%,No Change,,42%,53%,Increase,4%,64%,,,,,,,,,,,,
2088,Bethel SD 52,587,Shasta Middle School,Brady Cottle,Grade(s) 6-8,M,Lane,409,5%,2,22%,44%,97%,18,11,1,12%,No,32,No Change,,25,86%,Decrease,1%,80%,Average,50%,Decrease,7%,56%,33%,Decrease,5%,41%,57%,Decrease,14%,61%,,,,,,,,,,,,
2088,Bethel SD 52,588,Willamette High School,Mindy LeRoux,Grade(s) 9-12,H,Lane,1390,10%,11,15%,42%,99%,59,17,4,4%,No,27,No Change,,25,85%,Decrease,2%,80%,,,,,,,,,,,,,,75%,Increase,2%,85%,79%,Increase,1%,77%,85%,Decrease,2%,83%
2095,Blachly SD 90,3401,Triangle Lake Charter School,Rilke Klingsporn,Grade(s) K-12,H,Lane,217,*,1,19%,61%,82%,18,6,1,9%,No,14,Decrease,3,25,84%,Increase,6%,80%,,,,,,,,,,,,,,92%,Increase,4%,85%,69%,Decrease,5%,77%,100%,Increase,23%,83%
2052,Black Butte SD 41,428,Black Butte Elementary School,Delaney Sharp,Grade(s) K-8,E,Jefferson,25,*,1,*,56%,92%,3,1,0,26%,Yes,25.5,Increase,11,25,88%,Increase,7%,80%,High,77%,Increase,6%,54%,47%,Decrease,12%,42%,*,No Change,,64%,,,,,,,,,,,,
1974,Brookings-Harbor SD 17C,235,Azalea Middle School,Nicole Medrano,Grade(s) 6-8,M,Curry,344,<5%,3,18%,45%,92%,19,7,1,31%,No,23,No Change,,25,75%,Decrease,6%,80%,Average,45%,Decrease,1%,56%,22%,Decrease,7%,41%,73%,Increase,4%,61%,,,,,,,,,,,,
1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School,Lisa Dion,Grade(s) 9-12,H,Curry,481,5%,6,12%,48%,95%,27,8,2,24%,No,20,Decrease,1,25,47%,Decrease,25%,80%,,,,,,,,,,,,,,93%,Increase,1%,85%,77%,Increase,6%,77%,76%,Decrease,2%,83%
1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,Helena Chirinian,Grade(s) K-5,E,Curry,747,5%,4,13%,53%,92%,35,22,1,14%,No,24,Increase,1,25,70%,Decrease,6%,80%,Average,48%,Increase,4%,51%,35%,No Change,,44%,69%,Increase,1%,65%,,,,,,,,,,,,
1896,Burnt River SD 30J,3347,Burnt River School,Lorrie Andrews,Grade(s) K-12,H,Baker,49,*,9,*,39%,74%,5,0,0,15%,No,12.5,Increase,4,25,82%,Increase,2%,80%,,,,,,,,,,,,,,*,No Change,,85%,80%,Decrease,20%,77%,100%,Increase,12%,83%
2046,Butte Falls SD 91,406,Butte Falls Charter School,Dianne Gorman,Grade(s) K-12,H,Jackson,223,*,1,25%,>95%,92%,14,6,0,18%,No,13,Increase,2,25,63%,Decrease,6%,80%,,,,,,,,,,,,,,65%,Decrease,24%,85%,77%,Increase,15%,77%,75%,Increase,8%,83%
1995,Camas Valley SD 21J,3400,Camas Valley School,Patrick Lee,Grade(s) K-12,H,Douglas,211,*,1,15%,55%,91%,16,6,0,11%,No,15,Increase,2,25,>95%,Increase,>14%,80%,,,,,,,,,,,,,,62%,Decrease,2%,85%,85%,Increase,8%,77%,82%,Decrease,8%,83%
1929,Canby SD 86,4434,Baker Prairie Middle School,Jennifer Turner,Grade(s) 7-8,M,Clackamas,595,28%,6,13%,47%,97%,30,6,1,21%,No,28,Increase,1,25,78%,Decrease,3%,80%,Low,48%,Decrease,2%,57%,36%,Decrease,6%,42%,53%,Decrease,8%,61%,,,,,,,,,,,,
1929,Canby SD 86,140,Canby High School,Greg Dinse,Grade(s) 9-12,H,Clackamas,1333,26%,12,11%,35%,95%,67,15,3,10%,No,25,No Change,,25,77%,Decrease,4%,80%,,,,,,,,,,,,,,83%,Decrease,4%,85%,89%,Decrease,1%,77%,94%,Increase,3%,83%
1929,Canby SD 86,92,Carus School,Sam Thompson,Grade(s) K-6,E,Clackamas,477,12%,9,13%,40%,93%,23,6,1,19%,No,25,No Change,,25,83%,Increase,1%,80%,Average,49%,No Change,,52%,37%,Decrease,10%,43%,59%,Increase,3%,65%,,,,,,,,,,,,
1929,Canby SD 86,1307,Cecile Trost Elementary School,Angie Navarro,Grade(s) K-6,E,Clackamas,423,60%,4,10%,70%,96%,27,6,1,18%,No,22,Decrease,1,25,88%,Increase,3%,80%,Average,34%,Increase,6%,52%,16%,No Change,,43%,48%,Decrease,3%,65%,,,,,,,,,,,,
1929,Canby SD 86,124,Howard Eccles Elementary School,Andy McKean,Grade(s) K-6,E,Clackamas,442,14%,4,9%,34%,95%,25,4,0,16%,No,22.5,No Change,,25,91%,Increase,2%,80%,High,67%,Increase,3%,52%,70%,Increase,6%,43%,86%,Increase,10%,65%,,,,,,,,,,,,
1929,Canby SD 86,127,Ninety-One School,Skyler Rodolph,Grade(s) K-8,E,Clackamas,483,17%,5,9%,34%,90%,26,4,1,17%,No,24,Decrease,3,25,84%,Increase,5%,80%,High,64%,Increase,12%,54%,55%,Increase,6%,42%,63%,Decrease,9%,64%,,,,,,,,,,,,
1929,Canby SD 86,4435,Philander Lee Elementary School,Cherie Switzer,Grade(s) K-6,E,Clackamas,421,25%,5,14%,46%,95%,25,10,1,21%,No,24,Decrease,2,25,86%,Increase,6%,80%,High,54%,Increase,1%,52%,52%,Increase,8%,43%,75%,Increase,14%,65%,,,,,,,,,,,,
1929,Canby SD 86,122,William Knight Elementary School,Christine Taylor,Grade(s) K-6,E,Clackamas,356,20%,3,17%,48%,96%,21,12,1,18%,No,23.5,Decrease,1,25,84%,No Change,,80%,High,53%,Decrease,1%,52%,46%,Decrease,7%,43%,72%,Decrease,5%,65%,,,,,,,,,,,,
2139,Cascade SD 5,719,Aumsville Elementary School,Cyndi Ganfield,Grade(s) K-5,E,Marion,552,8%,6,19%,60%,95%,30,23,2,25%,No,25,No Change,,25,85%,Increase,5%,80%,Average,43%,Increase,7%,51%,33%,Increase,3%,44%,62%,Increase,1%,65%,,,,,,,,,,,,
2139,Cascade SD 5,810,Cascade Junior High School,Pete Rasmussen,Grade(s) 6-8,M,Marion,566,8%,5,12%,45%,95%,30,11,2,20%,No,24,No Change,,25,81%,Increase,2%,80%,High,65%,Increase,4%,56%,46%,No Change,,41%,72%,Increase,2%,61%,,,,,,,,,,,,
2139,Cascade SD 5,5380,Cascade Opportunity Center,Leanne Deffenbaugh,Grade(s) 9-12,H,Marion,67,*,2,16%,64%,*,2,1,0,-1,No,17,New School,,25,31%,New School,,80%,,,,,,,,,,,,,,*,New School,,85%,*,No Change,,,*,No Change,,
2139,Cascade SD 5,811,Cascade Senior High School,Matt Thatcher,Grade(s) 9-12,H,Marion,647,<5%,5,12%,38%,98%,40,9,1,9%,No,20,Decrease,1,25,77%,Increase,5%,80%,,,,,,,,,,,,,,>95%,Increase,>6%,85%,90%,Increase,1%,77%,91%,Decrease,1%,83%
2139,Cascade SD 5,806,Cloverdale Elementary School,Bryan Dyer,Grade(s) K-5,E,Marion,150,*,2,9%,29%,96%,8,3,0,16%,Yes,20,Decrease,2,25,93%,Increase,8%,80%,Average,62%,Increase,1%,51%,47%,No Change,,44%,92%,Increase,8%,65%,,,,,,,,,,,,
2139,Cascade SD 5,790,Turner Elementary School,Dan Petersen,Grade(s) K-5,E,Marion,308,9%,5,16%,37%,95%,16,6,1,17%,No,26,Decrease,1,25,86%,Increase,2%,80%,High,61%,Increase,12%,51%,46%,Increase,13%,44%,83%,Increase,6%,65%,,,,,,,,,,,,
2185,Centennial SD 28J,3649,Butler Creek Elementary School,Heather Bailey,Grade(s) K-6,E,Multnomah,562,31%,24,10%,44%,92%,27,9,0,7%,Yes,27.5,No Change,,25,83%,Decrease,1%,80%,High,55%,No Change,,52%,49%,Decrease,3%,43%,58%,Decrease,18%,65%,,,,,,,,,,,,
2185,Centennial SD 28J,967,Centennial High School,Mairi Scott Aguirre,Grade(s) 9-12,H,Multnomah,1594,43%,37,11%,55%,95%,66,20,5,9%,No,27,Decrease,1,25,62%,Decrease,7%,80%,,,,,,,,,,,,,,84%,Decrease,1%,85%,84%,Increase,1%,77%,88%,Increase,1%,83%
2185,Centennial SD 28J,960,Centennial Middle School,Rise' Hawley,Grade(s) 7-8,M,Multnomah,905,42%,33,11%,63%,91%,46,14,2,8%,No,28,Increase,1,25,74%,Decrease,3%,80%,High,53%,No Change,,57%,45%,Increase,2%,42%,57%,Decrease,4%,61%,,,,,,,,,,,,
2185,Centennial SD 28J,1367,Centennial Park School,Ajai Huja,Grade(s) 7-12,H,Multnomah,137,10%,9,26%,56%,96%,15,5,1,8%,No,13.5,Decrease,2,25,23%,Decrease,8%,80%,,,,,,,,,,,,,,*,No Change,,85%,28%,Increase,7%,77%,41%,Decrease,5%,83%
2185,Centennial SD 28J,959,Meadows Elementary,Karen Weinert,Grade(s) K-6,E,Multnomah,404,44%,18,16%,71%,95%,23,6,0,11%,Yes,27,Increase,3,25,77%,Increase,3%,80%,Average,30%,Increase,6%,52%,24%,Increase,1%,43%,33%,Decrease,9%,65%,,,,,,,,,,,,
2185,Centennial SD 28J,962,Oliver Elementary School,Jeb Hubbs,Grade(s) K-6,E,Multnomah,419,46%,22,17%,>95%,94%,25,9,1,20%,No,25,No Change,,25,72%,No Change,,80%,Average,23%,Decrease,1%,52%,14%,No Change,,43%,23%,Decrease,7%,65%,,,,,,,,,,,,
2185,Centennial SD 28J,963,Parklane Elementary School,Jorge Meza,Grade(s) K-6,E,Multnomah,363,40%,24,16%,>95%,95%,23,9,0,14%,Yes,25,Decrease,1,25,74%,Decrease,4%,80%,Average,29%,Increase,3%,52%,18%,Decrease,5%,43%,35%,Increase,5%,65%,,,,,,,,,,,,
